Airline;Day_of_Journey ;Month_of_Journey ;Year_of_Journey ;Dep_Time;Arrival_Time;Arrival_Day;Arrival_Month;Duration;Total_Stops;Price;ID_Voo;fk_ID_Rota
Jet Airways;9;3;2019;19:15;18:50;10;3;23h 35m;1;16289;3096;24
Multiple carriers;12;6;2019;14:00;21:00;12;6;7h;1;13587;3097;24
Multiple carriers;27;3;2019;11:30;18:50;27;3;7h 20m;1;11200;3098;24
Jet Airways;27;6;2019;22:50;19:00;28;6;20h 10m;1;10262;3099;24
Air India;18;5;2019;10:00;07:40;19;5;21h 40m;1;8372;3100;24
Multiple carriers;24;6;2019;10:00;21:00;24;6;11h;1;13587;3101;24
Jet Airways;18;5;2019;20:55;04:25;19;5;7h 30m;1;15554;3102;24
Jet Airways;9;3;2019;16:00;18:50;10;3;26h 50m;1;14053;3103;24
Multiple carriers;15;5;2019;17:30;01:30;16;5;8h;1;13727;3104;24
Multiple carriers;24;6;2019;13:00;21:00;24;6;8h;1;7408;3105;24
Jet Airways;27;3;2019;08:00;04:25;28;3;20h 25m;1;12452;3106;24
Multiple carriers;9;5;2019;04:55;19:15;9;5;14h 20m;1;7575;3107;24
Multiple carriers;18;5;2019;13:00;21:00;18;5;8h;1;9385;3108;24
IndiGo;12;6;2019;20:25;01:30;13;6;5h 5m;1;5058;3109;24
Multiple carriers Premium economy;21;3;2019;06:00;13:20;21;3;7h 20m;1;11269;3110;24
Multiple carriers;9;4;2019;19:00;01:30;10;4;6h 30m;1;7363;3111;24
Jet Airways;6;3;2019;15:05;04:25;7;3;13h 20m;1;15764;3112;24
Jet Airways;12;6;2019;10:00;04:25;13;6;18h 25m;1;10262;3113;24
Jet Airways;15;6;2019;17:30;19:00;16;6;25h 30m;1;10262;3114;24
Jet Airways;27;5;2019;14:00;04:25;28;5;14h 25m;1;12898;3115;24
Multiple carriers;24;6;2019;17:00;01:30;25;6;8h 30m;1;7198;3116;24
Multiple carriers;27;6;2019;06:00;19:00;27;6;13h;1;10791;3117;24
Multiple carriers;9;5;2019;09:00;19:00;9;5;10h;1;10197;3118;24
Multiple carriers;15;6;2019;09:00;21:00;15;6;12h;1;7933;3119;24
Jet Airways;27;3;2019;07:05;04:25;28;3;21h 20m;1;6645;3120;24
Multiple carriers;21;3;2019;13:00;01:35;22;3;12h 35m;1;8098;3121;24
Jet Airways;3;6;2019;02:15;19:00;3;6;16h 45m;1;10262;3122;24
Jet Airways;3;6;2019;15:00;19:00;4;6;28h;1;10262;3123;24
Jet Airways;15;6;2019;02:15;12:35;15;6;10h 20m;1;18371;3124;24
Multiple carriers;27;6;2019;08:45;21:00;27;6;12h 15m;1;7005;3125;24
Jet Airways;21;5;2019;02:15;12:35;21;5;10h 20m;1;12898;3126;24
Air India;15;6;2019;03:50;19:15;15;6;15h 25m;1;9929;3127;24
Jet Airways;1;6;2019;10:00;19:00;1;6;9h;1;14714;3128;24
Multiple carriers;18;5;2019;04:55;12:35;18;5;7h 40m;1;8882;3129;24
Multiple carriers;9;5;2019;08:00;19:00;9;5;11h;1;10197;3130;24
IndiGo;3;3;2019;07:30;13:20;3;3;5h 50m;1;13628;3131;24
IndiGo;1;6;2019;17:10;01:30;2;6;8h 20m;1;6628;3132;24
IndiGo;6;3;2019;11:30;21:00;6;3;9h 30m;1;14871;3133;24
Multiple carriers;1;6;2019;11:30;19:15;1;6;7h 45m;1;16108;3134;24
GoAir;9;6;2019;10:35;19:35;9;6;9h;1;5281;3135;24
Jet Airways;9;3;2019;08:00;04:25;10;3;20h 25m;1;17549;3136;24
Multiple carriers;3;6;2019;08:00;21:00;3;6;13h;1;13797;3137;24
Multiple carriers;3;3;2019;12:50;01:35;4;3;12h 45m;1;18192;3138;24
Multiple carriers;6;3;2019;15:15;01:35;7;3;10h 20m;1;15147;3139;24
Multiple carriers;15;6;2019;04:55;19:00;15;6;14h 5m;1;10678;3140;24
Jet Airways;27;3;2019;11:30;18:50;27;3;7h 20m;1;12242;3141;24
Jet Airways;1;6;2019;20:55;04:25;2;6;7h 30m;1;10262;3142;24
Multiple carriers;18;5;2019;07:05;19:15;18;5;12h 10m;1;14533;3143;24
Multiple carriers;21;3;2019;10:45;18:50;21;3;8h 5m;1;11622;3144;24
Multiple carriers;24;6;2019;07:30;19:15;24;6;11h 45m;1;9001;3145;24
Jet Airways;3;4;2019;02:15;04:25;4;4;26h 10m;1;5177;3146;24
Multiple carriers;15;5;2019;08:45;19:00;15;5;10h 15m;1;9794;3147;24
Multiple carriers;21;5;2019;08:00;19:15;21;5;11h 15m;1;15058;3148;24
Jet Airways;6;3;2019;16:00;19:45;7;3;27h 45m;1;17024;3149;24
Air India;9;6;2019;21:00;07:40;10;6;10h 40m;1;8372;3150;24
IndiGo;27;3;2019;11:30;21:00;27;3;9h 30m;1;6416;3151;24
Jet Airways;9;6;2019;11:30;19:00;9;6;7h 30m;1;10262;3152;24
Jet Airways;9;6;2019;22:50;19:00;10;6;20h 10m;1;14714;3153;24
Multiple carriers;18;5;2019;10:35;19:15;18;5;8h 40m;1;8309;3154;24
Jet Airways;24;6;2019;14:00;04:25;25;6;14h 25m;1;10262;3155;24
IndiGo;15;6;2019;11:25;01:30;16;6;14h 5m;1;5883;3156;24
Multiple carriers;6;6;2019;10:00;19:00;6;6;9h;1;12717;3157;24
Multiple carriers;9;5;2019;07:30;19:15;9;5;11h 45m;1;7787;3158;24
GoAir;1;4;2019;10:35;19:35;1;4;9h;1;5281;3159;24
IndiGo;6;6;2019;09:15;21:00;6;6;11h 45m;1;6838;3160;24
Multiple carriers;3;6;2019;18:15;01:30;4;6;7h 15m;1;13377;3161;24
Air India;21;5;2019;08:00;19:15;21;5;11h 15m;1;8372;3162;24
Jet Airways;27;5;2019;09:00;04:25;28;5;19h 25m;1;12898;3163;24
IndiGo;3;6;2019;17:10;01:30;4;6;8h 20m;1;6104;3164;24
Multiple carriers;27;5;2019;10:20;19:00;27;5;8h 40m;1;9794;3165;24
Jet Airways;9;5;2019;18:15;19:00;10;5;24h 45m;1;15554;3166;24
Multiple carriers;27;5;2019;10:00;01:30;28;5;15h 30m;1;9508;3167;24
Jet Airways;9;3;2019;16:00;18:50;10;3;26h 50m;1;16289;3168;24
Multiple carriers;3;3;2019;07:00;13:20;3;3;6h 20m;1;15603;3169;24
Jet Airways;9;6;2019;16:00;19:00;10;6;27h;1;10577;3170;24
Jet Airways;24;6;2019;09:00;19:00;24;6;10h;1;18371;3171;24
Multiple carriers;6;3;2019;11:30;19:15;6;3;7h 45m;1;15077;3172;24
Jet Airways;9;5;2019;19:15;12:35;10;5;17h 20m;1;12373;3173;24
Multiple carriers;3;3;2019;06:40;18:50;3;3;12h 10m;1;15135;3174;24
Multiple carriers;1;6;2019;09:15;19:00;1;6;9h 45m;1;12042;3175;24
Jet Airways;6;5;2019;22:50;12:35;7;5;13h 45m;1;15554;3176;24
Multiple carriers;21;5;2019;14:00;21:00;21;5;7h;1;14067;3177;24
IndiGo;9;5;2019;10:35;01:30;10;5;14h 55m;1;8330;3178;24
Multiple carriers;15;5;2019;12:50;01:30;16;5;12h 40m;1;7670;3179;24
Jet Airways;12;6;2019;17:30;19:00;13;6;25h 30m;1;10262;3180;24
Jet Airways;6;6;2019;19:15;04:25;7;6;9h 10m;1;10262;3181;24
Multiple carriers;27;6;2019;12:50;21:00;27;6;8h 10m;1;6007;3182;24
Multiple carriers;9;3;2019;02:15;12:55;9;3;10h 40m;1;18260;3183;24
Jet Airways;12;6;2019;02:15;19:00;12;6;16h 45m;1;14714;3184;24
Jet Airways;9;5;2019;07:05;12:35;9;5;5h 30m;1;15554;3185;24
Multiple carriers;9;5;2019;19:00;01:30;10;5;6h 30m;1;9424;3186;24
Multiple carriers;27;5;2019;17:00;01:30;28;5;8h 30m;1;7198;3187;24
Jet Airways;27;5;2019;13:00;12:35;28;5;23h 35m;1;12898;3188;24
IndiGo;27;3;2019;20:30;01:35;28;3;5h 5m;1;5073;3189;24
Multiple carriers;3;6;2019;07:05;19:15;3;6;12h 10m;1;15058;3190;24
IndiGo;3;4;2019;10:35;15:35;3;4;5h;1;5073;3191;24
Multiple carriers;15;5;2019;08:00;19:00;15;5;11h;1;10197;3192;24
Jet Airways;24;6;2019;11:30;04:25;25;6;16h 55m;1;10262;3193;24
Multiple carriers;6;3;2019;09:55;19:15;6;3;9h 20m;1;15342;3194;24
Jet Airways;27;5;2019;21:50;19:00;28;5;21h 10m;1;12898;3195;24
IndiGo;15;5;2019;17:10;01:30;16;5;8h 20m;1;6979;3196;24
Jet Airways;27;3;2019;11:30;04:25;28;3;16h 55m;1;6017;3197;24
Jet Airways;21;3;2019;07:05;12:35;21;3;5h 30m;1;14053;3198;24
Air India;6;6;2019;08:00;19:15;6;6;11h 15m;1;8372;3199;24
Jet Airways;9;3;2019;06:50;19:45;9;3;12h 55m;1;16289;3200;24
Multiple carriers Premium economy;21;3;2019;06:00;15:30;21;3;9h 30m;1;11269;3201;24
Multiple carriers;18;5;2019;13:00;01:30;19;5;12h 30m;1;9385;3202;24
Multiple carriers;15;6;2019;08:00;19:00;15;6;11h;1;12192;3203;24
Multiple carriers;27;5;2019;18:00;01:30;28;5;7h 30m;1;7198;3204;24
Jet Airways;21;3;2019;13:00;18:50;21;3;5h 50m;1;12347;3205;24
Jet Airways;6;3;2019;19:45;19:45;7;3;24h;1;17024;3206;24
Multiple carriers;6;6;2019;14:00;01:30;7;6;11h 30m;1;13377;3207;24
Multiple carriers;27;6;2019;10:20;19:15;27;6;8h 55m;1;7741;3208;24
Multiple carriers;3;6;2019;08:45;21:00;3;6;12h 15m;1;7740;3209;24
Jet Airways;27;3;2019;09:55;18:50;27;3;8h 55m;1;12032;3210;24
Jet Airways;21;3;2019;19:45;18:50;22;3;23h 5m;1;12347;3211;24
Jet Airways;18;5;2019;11:30;04:25;19;5;16h 55m;1;12373;3212;24
Jet Airways;18;5;2019;09:00;19:00;18;5;10h;1;15554;3213;24
Multiple carriers;12;6;2019;08:45;19:00;12;6;10h 15m;1;11789;3214;24
Multiple carriers;21;5;2019;19:00;01:30;22;5;6h 30m;1;7888;3215;24
Multiple carriers;24;6;2019;10:20;21:00;24;6;10h 40m;1;6007;3216;24
Jet Airways;27;5;2019;10:00;12:35;28;5;26h 35m;1;12898;3217;24
Multiple carriers;21;5;2019;08:45;19:00;21;5;10h 15m;1;9794;3218;24
Multiple carriers;3;3;2019;07:00;15:30;3;3;8h 30m;1;15603;3219;24
Jet Airways;9;6;2019;19:45;12:35;10;6;16h 50m;1;10577;3220;24
Jet Airways;3;6;2019;13:00;19:00;3;6;6h;1;14714;3221;24
Jet Airways;6;3;2019;09:00;18:50;6;3;9h 50m;1;15400;3222;24
IndiGo;15;6;2019;08:30;21:00;15;6;12h 30m;1;6416;3223;24
IndiGo;21;3;2019;16:00;01:35;22;3;9h 35m;1;9264;3224;24
Multiple carriers;6;6;2019;09:00;21:00;6;6;12h;1;13587;3225;24
Jet Airways;1;6;2019;21:50;12:35;2;6;14h 45m;1;14714;3226;24
IndiGo;6;5;2019;11:25;01:30;7;5;14h 5m;1;6979;3227;24
Jet Airways;18;5;2019;19:45;04:25;19;5;8h 40m;1;12373;3228;24
Multiple carriers;21;3;2019;09:00;18:50;21;3;9h 50m;1;11667;3229;24
Multiple carriers;24;6;2019;08:45;19:15;24;6;10h 30m;1;9001;3230;24
IndiGo;24;6;2019;20:25;01:30;25;6;5h 5m;1;5054;3231;24
Jet Airways;3;6;2019;08:00;19:00;3;6;11h;1;14924;3232;24
Multiple carriers;21;5;2019;06:00;21:00;21;5;15h;1;7485;3233;24
Jet Airways;24;6;2019;08:00;19:00;24;6;11h;1;18581;3234;24
IndiGo;9;5;2019;17:10;01:30;10;5;8h 20m;1;8330;3235;24
Jet Airways;9;6;2019;08:00;19:00;9;6;11h;1;10262;3236;24
Multiple carriers;18;5;2019;15:00;01:30;19;5;10h 30m;1;13727;3237;24
Jet Airways;21;3;2019;17:30;18:50;22;3;25h 20m;1;12557;3238;24
Jet Airways;24;6;2019;17:30;19:00;25;6;25h 30m;1;10262;3239;24
Air India;27;6;2019;13:00;19:15;27;6;6h 15m;1;8372;3240;24
Jet Airways;9;3;2019;02:15;19:45;9;3;17h 30m;1;15764;3241;24
Multiple carriers;1;6;2019;10:00;19:15;1;6;9h 15m;1;16108;3242;24
IndiGo;9;4;2019;10:35;01:30;10;4;14h 55m;1;6270;3243;24
Multiple carriers;6;3;2019;09:10;19:15;6;3;10h 5m;1;15077;3244;24
Jet Airways;3;6;2019;09:00;12:35;4;6;27h 35m;1;10262;3245;24
Jet Airways;1;6;2019;17:30;19:00;2;6;25h 30m;1;14714;3246;24
Multiple carriers;27;3;2019;07:30;19:15;27;3;11h 45m;1;8371;3247;24
Multiple carriers;27;6;2019;10:00;19:00;27;6;9h;1;12192;3248;24
Multiple carriers Premium economy;21;3;2019;06:00;18:50;21;3;12h 50m;1;14629;3249;24
Multiple carriers;9;5;2019;13:00;19:15;9;5;6h 15m;1;14323;3250;24
IndiGo;18;5;2019;06:40;21:00;18;5;14h 20m;1;6758;3251;24
Multiple carriers;21;5;2019;09:00;19:15;21;5;10h 15m;1;14848;3252;24
IndiGo;6;3;2019;09:10;21:00;6;3;11h 50m;1;14871;3253;24
IndiGo;15;5;2019;04:55;21:00;15;5;16h 5m;1;6979;3254;24
Jet Airways;18;5;2019;20:55;04:25;19;5;7h 30m;1;12373;3255;24
Air India;3;3;2019;04:00;07:40;4;3;27h 40m;1;14462;3256;24
Multiple carriers;9;6;2019;09:00;21:00;9;6;12h;1;7408;3257;24
IndiGo;9;6;2019;10:35;21:00;9;6;10h 25m;1;6314;3258;24
Multiple carriers;12;6;2019;10:20;19:15;12;6;8h 55m;1;8266;3259;24
Jet Airways;18;5;2019;21:50;12:35;19;5;14h 45m;1;12373;3260;24
IndiGo;3;3;2019;08:25;21:00;3;3;12h 35m;1;14871;3261;24
Multiple carriers;1;6;2019;11:30;21:00;1;6;9h 30m;1;13587;3262;24
Multiple carriers;3;3;2019;18:15;01:35;4;3;7h 20m;1;18916;3263;24
Multiple carriers;21;5;2019;12:50;19:15;21;5;6h 25m;1;8266;3264;24
Jet Airways;18;5;2019;02:15;04:25;19;5;26h 10m;1;12373;3265;24
Jet Airways;1;6;2019;08:00;19:00;1;6;11h;1;14714;3266;24
Jet Airways;27;3;2019;09:00;04:25;28;3;19h 25m;1;12242;3267;24
Multiple carriers;27;6;2019;13:00;21:00;27;6;8h;1;7408;3268;24
Multiple carriers;27;3;2019;06:40;19:15;27;3;12h 35m;1;9100;3269;24
IndiGo;27;5;2019;04:55;21:00;27;5;16h 5m;1;8784;3270;24
Multiple carriers;27;6;2019;13:00;01:30;28;6;12h 30m;1;13377;3271;24
Air India;3;6;2019;13:00;19:15;3;6;6h 15m;1;8372;3272;24
IndiGo;6;6;2019;07:30;21:00;6;6;13h 30m;1;6093;3273;24
Multiple carriers;9;5;2019;08:45;19:00;9;5;10h 15m;1;9794;3274;24
Jet Airways;9;6;2019;21:50;04:25;10;6;6h 35m;1;14714;3275;24
Multiple carriers;27;6;2019;10:00;21:00;27;6;11h;1;7408;3276;24
IndiGo;9;5;2019;06:40;21:00;9;5;14h 20m;1;7191;3277;24
Jet Airways;6;6;2019;07:05;04:25;7;6;21h 20m;1;10262;3278;24
Jet Airways;3;6;2019;18:15;19:00;4;6;24h 45m;1;10262;3279;24
Jet Airways;15;6;2019;13:00;19:00;15;6;6h;1;14714;3280;24
Jet Airways;21;5;2019;14:00;19:00;21;5;5h;1;16079;3281;24
Multiple carriers;15;5;2019;10:20;19:00;15;5;8h 40m;1;9794;3282;24
Multiple carriers;15;6;2019;10:00;01:30;16;6;15h 30m;1;13377;3283;24
Jet Airways;18;5;2019;22:50;04:25;19;5;5h 35m;1;15554;3284;24
Multiple carriers;27;5;2019;08:45;19:15;27;5;10h 30m;1;10051;3285;24
Jet Airways;15;6;2019;10:00;19:00;15;6;9h;1;14714;3286;24
Jet Airways;3;6;2019;15:00;04:25;4;6;13h 25m;1;14714;3287;24
Multiple carriers;24;6;2019;17:30;01:30;25;6;8h;1;13377;3288;24
Multiple carriers Premium economy;21;3;2019;07:30;18:50;21;3;11h 20m;1;14629;3289;24
IndiGo;9;4;2019;07:30;21:00;9;4;13h 30m;1;6093;3290;24
Air India;18;5;2019;21:00;07:40;19;5;10h 40m;1;8372;3291;24
Air India;9;3;2019;08:00;19:15;9;3;11h 15m;1;16754;3292;24
Jet Airways;27;5;2019;22:50;19:00;28;5;20h 10m;1;16079;3293;24
Air India;3;6;2019;19:00;07:40;4;6;12h 40m;1;8372;3294;24
Jet Airways;3;3;2019;18:15;18:50;4;3;24h 35m;1;17234;3295;24
Multiple carriers;24;6;2019;07:00;21:00;24;6;14h;1;7618;3296;24
Jet Airways;3;6;2019;16:00;04:25;4;6;12h 25m;1;10262;3297;24
Jet Airways;15;6;2019;09:00;19:00;15;6;10h;1;10262;3298;24
Multiple carriers;21;3;2019;15:15;01:35;22;3;10h 20m;1;7695;3299;24
IndiGo;27;5;2019;09:15;01:30;28;5;16h 15m;1;6628;3300;24
Multiple carriers;6;3;2019;08:00;15:30;6;3;7h 30m;1;15078;3301;24
Multiple carriers;6;6;2019;07:00;21:00;6;6;14h;1;7408;3302;24
Jet Airways;21;3;2019;08:00;04:25;22;3;20h 25m;1;6540;3303;24
Jet Airways;21;5;2019;10:00;19:00;21;5;9h;1;16079;3304;24
Multiple carriers;1;6;2019;18:15;01:30;2;6;7h 15m;1;13377;3305;24
Air India;27;5;2019;10:00;19:15;27;5;9h 15m;1;12029;3306;24
Multiple carriers;21;3;2019;14:00;01:35;22;3;11h 35m;1;13542;3307;24
Multiple carriers;21;3;2019;10:20;01:35;22;3;15h 15m;1;7695;3308;24
Jet Airways;9;6;2019;11:30;12:35;10;6;25h 5m;1;10262;3309;24
Multiple carriers;24;6;2019;12:50;19:15;24;6;6h 25m;1;7268;3310;24
Multiple carriers;21;5;2019;18:00;01:30;22;5;7h 30m;1;7888;3311;24
Multiple carriers;9;6;2019;11:40;19:00;9;6;7h 20m;1;11789;3312;24
Multiple carriers;21;5;2019;07:30;19:00;21;5;11h 30m;1;9794;3313;24
Multiple carriers;27;5;2019;11:40;01:30;28;5;13h 50m;1;6795;3314;24
IndiGo;9;3;2019;18:35;01:35;10;3;7h;1;12351;3315;24
Multiple carriers;15;5;2019;11:25;19:15;15;5;7h 50m;1;7575;3316;24
Multiple carriers;6;3;2019;07:00;18:50;6;3;11h 50m;1;15867;3317;24
Jet Airways;3;6;2019;15:00;19:00;4;6;28h;1;14714;3318;24
Air India;1;3;2019;04:00;07:40;2;3;27h 40m;1;28322;3319;24
IndiGo;6;4;2019;10:35;15:35;6;4;5h;1;5073;3320;24
Multiple carriers;24;6;2019;09:15;19:15;24;6;10h;1;8099;3321;24
Jet Airways;9;5;2019;13:00;12:35;10;5;23h 35m;1;12373;3322;24
Multiple carriers;12;6;2019;19:00;01:30;13;6;6h 30m;1;6795;3323;24
Multiple carriers;18;5;2019;09:00;21:00;18;5;12h;1;8073;3324;24
Multiple carriers;15;6;2019;11:40;19:15;15;6;7h 35m;1;9526;3325;24
Jet Airways;12;6;2019;13:00;19:00;12;6;6h;1;10262;3326;24
Jet Airways;9;6;2019;15:00;12:35;10;6;21h 35m;1;10262;3327;24
IndiGo;9;6;2019;15:00;01:30;10;6;10h 30m;1;6316;3328;24
Jet Airways;9;6;2019;13:00;19:00;9;6;6h;1;10262;3329;24
Multiple carriers;24;5;2019;07:30;19:00;24;5;11h 30m;1;10529;3330;24
Jet Airways;21;3;2019;02:15;18:50;21;3;16h 35m;1;7438;3331;24
Jet Airways;9;5;2019;14:00;04:25;10;5;14h 25m;1;12373;3332;24
Multiple carriers;21;3;2019;07:00;13:20;21;3;6h 20m;1;9042;3333;24
Jet Airways;9;3;2019;20:50;18:50;10;3;22h;1;16289;3334;24
Multiple carriers;3;3;2019;02:15;15:30;3;3;13h 15m;1;17057;3335;24
IndiGo;3;3;2019;11:30;21:00;3;3;9h 30m;1;14871;3336;24
Multiple carriers;9;6;2019;04:55;19:00;9;6;14h 5m;1;10877;3337;24
Multiple carriers;27;3;2019;10:45;18:50;27;3;8h 5m;1;11622;3338;24
Multiple carriers;27;5;2019;03:50;19:00;27;5;15h 10m;1;10197;3339;24
Multiple carriers;6;6;2019;10:20;19:15;6;6;8h 55m;1;8266;3340;24
Multiple carriers;27;6;2019;10:20;21:00;27;6;10h 40m;1;6480;3341;24
Jet Airways;24;6;2019;15:00;12:35;25;6;21h 35m;1;10262;3342;24
Jet Airways;9;5;2019;13:00;19:00;9;5;6h;1;12373;3343;24
Jet Airways;18;5;2019;10:00;19:00;18;5;9h;1;11399;3344;24
Multiple carriers;27;6;2019;06:00;21:00;27;6;15h;1;6007;3345;24
IndiGo;21;3;2019;04:45;13:20;21;3;8h 35m;1;7738;3346;24
Jet Airways;6;6;2019;17:30;19:00;7;6;25h 30m;1;14714;3347;24
IndiGo;27;3;2019;04:45;21:00;27;3;16h 15m;1;7258;3348;24
Multiple carriers;6;3;2019;09:10;18:50;6;3;9h 40m;1;15135;3349;24
Multiple carriers;27;3;2019;10:20;18:50;27;3;8h 30m;1;11421;3350;24
Jet Airways;27;6;2019;20:55;04:25;28;6;7h 30m;1;12898;3351;24
Multiple carriers;27;6;2019;07:05;21:00;27;6;13h 55m;1;13587;3352;24
Jet Airways;18;5;2019;09:00;04:25;19;5;19h 25m;1;12373;3353;24
Multiple carriers;9;5;2019;13:00;21:00;9;5;8h;1;13727;3354;24
Jet Airways;27;6;2019;18:15;12:35;28;6;18h 20m;1;10262;3355;24
GoAir;24;6;2019;10:35;19:35;24;6;9h;1;3876;3356;24
IndiGo;27;3;2019;15:00;01:35;28;3;10h 35m;1;8075;3357;24
Multiple carriers;15;6;2019;06:00;21:00;15;6;15h;1;7005;3358;24
Jet Airways;9;6;2019;11:30;04:25;10;6;16h 55m;1;10262;3359;24
IndiGo;6;5;2019;10:35;01:30;7;5;14h 55m;1;6979;3360;24
Multiple carriers;21;5;2019;08:30;19:00;21;5;10h 30m;1;9627;3361;24
Jet Airways;3;4;2019;02:15;19:00;3;4;16h 45m;1;4757;3362;24
IndiGo;21;3;2019;10:45;21:00;21;3;10h 15m;1;6838;3363;24
IndiGo;27;5;2019;15:00;01:30;28;5;10h 30m;1;6628;3364;24
Multiple carriers;6;3;2019;18:00;01:35;7;3;7h 35m;1;16863;3365;24
Multiple carriers;9;6;2019;07:00;19:00;9;6;12h;1;12192;3366;24
Jet Airways;21;3;2019;02:15;04:25;22;3;26h 10m;1;12719;3367;24
Jet Airways;21;5;2019;21:50;12:35;22;5;14h 45m;1;12898;3368;24
Jet Airways;3;6;2019;19:45;19:00;4;6;23h 15m;1;10262;3369;24
Multiple carriers;21;3;2019;08:00;18:50;21;3;10h 50m;1;11667;3370;24
Jet Airways;18;5;2019;18:15;04:25;19;5;10h 10m;1;12373;3371;24
GoAir;9;5;2019;10:35;19:35;9;5;9h;1;6591;3372;24
Jet Airways;1;4;2019;18:15;19:00;2;4;24h 45m;1;5406;3373;24
Jet Airways;9;5;2019;10:00;12:35;10;5;26h 35m;1;12373;3374;24
Air India;6;6;2019;07:00;19:15;6;6;12h 15m;1;8669;3375;24
Jet Airways;27;6;2019;18:15;19:00;28;6;24h 45m;1;10262;3376;24
Jet Airways;1;6;2019;11:30;19:00;1;6;7h 30m;1;14714;3377;24
Jet Airways;15;6;2019;10:00;19:00;15;6;9h;1;10262;3378;24
IndiGo;27;5;2019;17:30;01:30;28;5;8h;1;6206;3379;24
Jet Airways;15;6;2019;21:50;12:35;16;6;14h 45m;1;10262;3380;24
Multiple carriers;9;5;2019;07:05;19:15;9;5;12h 10m;1;11142;3381;24
Multiple carriers;9;5;2019;13:00;01:30;10;5;12h 30m;1;9424;3382;24
Multiple carriers;6;3;2019;09:00;15:30;6;3;6h 30m;1;15136;3383;24
Jet Airways;12;6;2019;11:30;04:25;13;6;16h 55m;1;10262;3384;24
Multiple carriers;27;6;2019;06:00;12:35;27;6;6h 35m;1;10791;3385;24
Jet Airways;27;3;2019;07:05;04:25;28;3;21h 20m;1;12452;3386;24
Multiple carriers;27;3;2019;08:55;15:30;27;3;6h 35m;1;7845;3387;24
Multiple carriers;15;6;2019;09:00;21:00;15;6;12h;1;13587;3388;24
Multiple carriers;3;3;2019;13:00;01:35;4;3;12h 35m;1;18286;3389;24
IndiGo;3;3;2019;06:40;15:30;3;3;8h 50m;1;14871;3390;24
Air India;12;6;2019;07:00;19:15;12;6;12h 15m;1;8669;3391;24
Jet Airways;27;3;2019;23:05;04:25;28;3;5h 20m;1;7438;3392;24
IndiGo;9;6;2019;17:10;01:30;10;6;8h 20m;1;6206;3393;24
Jet Airways;9;5;2019;10:00;19:00;9;5;9h;1;15554;3394;24
IndiGo;27;5;2019;08:30;21:00;27;5;12h 30m;1;6838;3395;24
GoAir;6;3;2019;10:25;19:20;6;3;8h 55m;1;8213;3396;24
Multiple carriers;6;6;2019;07:00;19:00;6;6;12h;1;12192;3397;24
Multiple carriers;3;6;2019;10:00;19:15;3;6;9h 15m;1;14848;3398;24
Multiple carriers;24;6;2019;19:00;01:30;25;6;6h 30m;1;6795;3399;24
Jet Airways;15;6;2019;09:00;04:25;16;6;19h 25m;1;10262;3400;24
Multiple carriers;18;5;2019;07:30;19:15;18;5;11h 45m;1;7564;3401;24
Multiple carriers;9;6;2019;10:20;21:00;9;6;10h 40m;1;7005;3402;24
IndiGo;3;3;2019;09:10;01:35;4;3;16h 25m;1;14871;3403;24
Multiple carriers;27;6;2019;08:45;19:15;27;6;10h 30m;1;8266;3404;24
Multiple carriers;21;5;2019;06:40;19:15;21;5;12h 35m;1;7787;3405;24
IndiGo;21;3;2019;07:30;13:20;21;3;5h 50m;1;9861;3406;24
Multiple carriers;15;5;2019;08:45;21:00;15;5;12h 15m;1;7670;3407;24
Jet Airways;3;6;2019;19:15;12:35;4;6;17h 20m;1;14714;3408;24
IndiGo;9;6;2019;09:15;01:30;10;6;16h 15m;1;6628;3409;24
Multiple carriers;1;6;2019;03:50;19:00;1;6;15h 10m;1;12192;3410;24
Air India;27;3;2019;07:00;19:15;27;3;12h 15m;1;6377;3411;24
IndiGo;21;3;2019;20:30;01:35;22;3;5h 5m;1;6232;3412;24
Multiple carriers;21;5;2019;08:45;19:15;21;5;10h 30m;1;8266;3413;24
Multiple carriers;27;5;2019;11:30;19:15;27;5;7h 45m;1;15898;3414;24
Jet Airways;9;6;2019;16:00;04:25;10;6;12h 25m;1;10577;3415;24
Jet Airways;6;4;2019;11:30;12:35;7;4;25h 5m;1;5177;3416;24
Multiple carriers;18;5;2019;08:00;21:00;18;5;13h;1;13727;3417;24
Jet Airways;3;6;2019;16:00;12:35;4;6;20h 35m;1;14714;3418;24
Jet Airways;21;3;2019;09:00;18:50;21;3;9h 50m;1;7438;3419;24
Jet Airways;6;6;2019;18:15;19:00;7;6;24h 45m;1;14714;3420;24
Multiple carriers;12;6;2019;18:15;01:30;13;6;7h 15m;1;13377;3421;24
Jet Airways;24;6;2019;10:00;04:25;25;6;18h 25m;1;10262;3422;24
Multiple carriers;6;6;2019;13:00;21:00;6;6;8h;1;13587;3423;24
Jet Airways;9;3;2019;00:20;04:25;10;3;28h 5m;1;11848;3424;24
Air India;1;6;2019;08:00;19:15;1;6;11h 15m;1;9929;3425;24
Multiple carriers;9;6;2019;11:40;21:00;9;6;9h 20m;1;7005;3426;24
Multiple carriers;15;6;2019;08:45;19:15;15;6;10h 30m;1;9526;3427;24
GoAir;24;4;2019;07:00;12:55;24;4;5h 55m;1;6195;3428;24
Jet Airways;27;5;2019;20:55;04:25;28;5;7h 30m;1;16079;3429;24
